Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
LW,Alex Ovechkin,8700,Was@Nsh 08:00PM ET,5.141,Was
G,Corey Crawford,8600,SJ@Chi 08:30PM ET,5.92,Chi
RW,Patrick Kane,8600,SJ@Chi 08:30PM ET,5.17,Chi
G,Braden Holtby,8500,Was@Nsh 08:00PM ET,5.386,Was
C,Tyler Seguin,8500,Dal@Min 08:00PM ET,4.859,Dal
G,Tuukka Rask,8400,LA@Bos 07:00PM ET,4.718,Bos
LW,Jamie Benn,8400,Dal@Min 08:00PM ET,4.707,Dal
G,Roberto Luongo,8300,Fla@Buf 07:00PM ET,5.205,Fla
G,Cory Schneider,8300,Edm@NJ 07:00PM ET,4.951,NJ
G,Brian Elliott,8200,Wpg@StL 08:00PM ET,4.526,StL
D,Brent Burns,8100,SJ@Chi 08:30PM ET,5.155,SJ
G,Jonathan Quick,8100,LA@Bos 07:00PM ET,4.524,LA
C,Joe Pavelski,7900,SJ@Chi 08:30PM ET,4.328,SJ
G,Semyon Varlamov,7800,Van@Col 09:00PM ET,4.656,Col
C,John Tavares,7800,NYI@Cls 07:00PM ET,3.861,NYI
G,Andrei Vasilevskiy,7800,TB@Mon 07:30PM ET,4.329,TB
G,Ben Bishop,7700,TB@Mon 07:30PM ET,4.58,TB
G,Thomas Greiss,7600,NYI@Cls 07:00PM ET,5.645,NYI
G,Scott Darling,7600,SJ@Chi 08:30PM ET,3.754,Chi
LW,Zach Parise,7500,Dal@Min 08:00PM ET,3.644,Min
G,Al Montoya,7500,Fla@Buf 07:00PM ET,4.846,Fla
G,Pekka Rinne,7500,Was@Nsh 08:00PM ET,3.622,Nsh
G,Karri Ramo,7500,Tor@Cgy 09:00PM ET,4.005,Cgy
G,Devan Dubnyk,7400,Dal@Min 08:00PM ET,4.126,Min
G,Steve Mason,7400,Anh@Phi 07:00PM ET,4.279,Phi
G,Michal Neuvirth,7400,Anh@Phi 07:00PM ET,5.571,Phi
RW,Vladimir Tarasenko,7400,Wpg@StL 08:00PM ET,4.204,StL
C,Patrice Bergeron,7300,LA@Bos 07:00PM ET,4.102,Bos
G,Jaroslav Halak,7300,NYI@Cls 07:00PM ET,4.062,NYI
G,Jake Allen,7300,Wpg@StL 08:00PM ET,4.897,StL
G,Frederik Andersen,7300,Anh@Phi 07:00PM ET,3.5,Anh
G,Connor Hellebuyck,7300,Wpg@StL 08:00PM ET,4.483,Wpg
G,Mike Condon,7300,TB@Mon 07:30PM ET,3.194,Mon
G,Jhonas Enroth,7200,LA@Bos 07:00PM ET,4.66,LA
G,Martin Jones,7200,SJ@Chi 08:30PM ET,4.405,SJ
G,Carter Hutton,7200,Was@Nsh 08:00PM ET,5.2,Nsh
G,Darcy Kuemper,7200,Dal@Min 08:00PM ET,3.957,Min
G,Ryan Miller,7100,Van@Col 09:00PM ET,4.051,Van
G,Carey Price,7100,TB@Mon 07:30PM ET,6.517,Mon
LW,Max Pacioretty,7100,TB@Mon 07:30PM ET,3.924,Mon
G,John Gibson,7100,Anh@Phi 07:00PM ET,4.583,Anh
LW,Johnny Gaudreau,7100,Tor@Cgy 09:00PM ET,3.853,Cgy
G,Jonathan Bernier,7000,Tor@Cgy 09:00PM ET,3.125,Tor
C,Claude Giroux,7000,Anh@Phi 07:00PM ET,3.7,Phi
G,Antti Niemi,7000,Dal@Min 08:00PM ET,4.256,Dal
C,Steven Stamkos,7000,TB@Mon 07:30PM ET,3.509,TB
G,Robin Lehner,7000,Fla@Buf 07:00PM ET,5.314,Buf
G,Cam Talbot,7000,Edm@NJ 07:00PM ET,3.577,Edm
G,Keith Kinkaid,7000,Edm@NJ 07:00PM ET,3.32,NJ
G,Kari Lehtonen,6900,Dal@Min 08:00PM ET,3.992,Dal
RW,Blake Wheeler,6900,Wpg@StL 08:00PM ET,4.033,Wpg
G,Curtis McElhinney,6900,NYI@Cls 07:00PM ET,1.938,Cls
G,James Reimer,6900,Tor@Cgy 09:00PM ET,4.548,Tor
G,Chad Johnson,6900,Fla@Buf 07:00PM ET,4.227,Buf
